Station Name,Country,ID,Lat.,Lon.,Coastline
TRIBENI,IND,1002,22.983,88.4,500
PORT BLAIR,IND,206,11.683,92.767,540
CILACAP B,IDN,2199,-7.752,109.017,560
BENOA B,IDN,2200,-8.747,115.212,560
CHABAHAR II,IRN,2228,25.296,60.603,489
MALIN HEAD,IRL,916,55.367,-7.333,175
DUBLIN,IRL,432,53.35,-6.217,175
DOUGLAS,IMN,435,54.15,-4.467,170
PORT ERIN,IMN,1793,54.085,-4.768,170
AKKO,ISR,2218,32.919,35.07,320
HAIFA II,ISR,2221,32.829,34.991,320
HADERA,ISR,1797,32.47,34.863,320
TEL AVIV,ISR,1880,32.083,34.767,320
TEL AVIV - YAFO,ISR,2147,32.053,34.75,320
ASHDOD II,ISR,2219,31.831,34.641,320
ASHKLON,ISR,2220,31.682,34.557,320
EILAT NORTH,ISR,2148,29.545,34.952,480
EILAT SOUTH,ISR,2149,29.502,34.918,480
LA MADDALENA,ITA,109,41.233,9.367,240
PORTO TORRES,ITA,2084,40.842,8.404,240
CAGLIARI,ITA,104,39.2,9.167,240
CAGLIARI II,ITA,2089,39.21,9.114,240
CARLOFORTE,ITA,2076,39.148,8.309,240
PORTO MAURIZIO,ITA,108,43.867,8.017,250
IMPERIA,ITA,2078,43.878,8.019,250
GENOVA,ITA,59,44.4,8.9,250
GENOVA II,ITA,2090,44.41,8.926,250
LIVORNO II,ITA,2080,43.546,10.299,250
CIVITAVECCHIA,ITA,106,42.05,11.817,250
NAPOLI (ARSENALE),ITA,129,40.867,14.267,250
NAPOLI II,ITA,2092,40.841,14.269,250
NAPOLI (MANDRACCIO),ITA,105,40.867,14.267,250
SALERNO,ITA,2086,40.677,14.751,250
PALINURO,ITA,2082,40.03,15.275,250
REGGIO CALABRIA,ITA,670,38.1,15.65,250
REGGIO CALABRIA II,ITA,2142,38.122,15.649,250
"PORTO EMPEDOCLE, SICILY",ITA,2083,37.286,13.527,260
PALERMO,ITA,107,38.133,13.333,260
PALERMO II,ITA,2093,38.121,13.371,260
LAMPEDUSA,ITA,2079,35.5,12.604,260
CAPO PASSERO,ITA,873,36.667,15.3,260
CATANIA,ITA,102,37.5,15.133,260
CATANIA II,ITA,2094,37.498,15.094,260
TARANTO,ITA,103,40.433,17.267,270
TARANTO II,ITA,2095,40.476,17.224,270
OTRANTO,ITA,990,40.133,18.5,270
OTRANTO II,ITA,2096,40.147,18.497,270
BARI,ITA,2075,41.14,16.866,270
MANFREDONIA,ITA,1262,41.617,15.917,270
VIESTE,ITA,2087,41.888,16.177,270
ORTONA,ITA,972,42.35,14.4,270
